Species1,Species2,DivergenceTime
Hordeum_californicum,Brachypodium_distachyon,34.529178
Hordeum_californicum,Hordeum_bogdanii,6.170433
Hordeum_californicum,Hordeum_jubatum_Sub2,6.170433
Hordeum_californicum,Hordeum_parodii_Sub2,6.170433
Hordeum_californicum,Hordeum_roshevitzii,6.170433
Hordeum_californicum,Hordeum_brevisubulatum,6.170433
Hordeum_californicum,Hordeum_jubatum_Sub1,1.433276
Hordeum_californicum,Hordeum_chilense,3.56174
Hordeum_californicum,Hordeum_flexuosum,3.56174
Hordeum_californicum,Hordeum_parodii_Sub1,3.56174
Hordeum_californicum,Hordeum_erectifolium,3.56174
Hordeum_californicum,Hordeum_stenostachys,3.56174
Hordeum_californicum,Hordeum_euclaston,3.56174
Hordeum_californicum,Hordeum_intercedens,3.56174
Hordeum_californicum,Hordeum_pusillum,3.56174
Hordeum_californicum,Hordeum_parodii_Sub3,3.56174
Hordeum_californicum,Hordeum_pubiflorum,3.56174
Hordeum_californicum,Hordeum_patagonicum,3.56174
Hordeum_californicum,Hordeum_comosum,3.56174
Hordeum_californicum,Hordeum_cordobense,3.56174
Hordeum_californicum,Hordeum_muticum,3.56174
Hordeum_californicum,Hordeum_secalinum_Sub2,5.56327
Hordeum_californicum,Hordeum_gussoneanum,9.009506
Hordeum_californicum,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_californicum,Hordeum_secalinum_Sub1,9.009506
Hordeum_californicum,Hordeum_marinum_BCC2001,9.009506
Hordeum_californicum,Hordeum_marinum_H559,9.009506
Hordeum_californicum,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_californicum,Hordeum_bulbosum_Hap1,12.273094
Hordeum_californicum,Hordeum_bulbosum_Hap2,12.273094
Hordeum_californicum,Hordeum_vulgare,12.273094
Hordeum_californicum,Hordeum_murinum_Sub1,12.273094
Hordeum_californicum,Hordeum_murinum_BCC2017,12.273094
Hordeum_californicum,Hordeum_murinum_Sub2,12.273094
Hordeum_californicum,Triticum_monococcum,16.207947
Hordeum_californicum,Oryza_sativa,46.81582
Hordeum_jubatum_Sub1,Sorghum_bicolor,48.998211
Hordeum_jubatum_Sub1,Brachypodium_distachyon,34.529178
Hordeum_jubatum_Sub1,Hordeum_bogdanii,6.170433
Hordeum_jubatum_Sub1,Hordeum_jubatum_Sub2,6.170433
Hordeum_jubatum_Sub1,Hordeum_parodii_Sub2,6.170433
Hordeum_jubatum_Sub1,Hordeum_roshevitzii,6.170433
Hordeum_jubatum_Sub1,Hordeum_brevisubulatum,6.170433
Hordeum_jubatum_Sub1,Hordeum_californicum,1.433276
Hordeum_jubatum_Sub1,Hordeum_chilense,3.56174
Hordeum_jubatum_Sub1,Hordeum_flexuosum,3.56174
Hordeum_jubatum_Sub1,Hordeum_parodii_Sub1,3.56174
Hordeum_jubatum_Sub1,Hordeum_erectifolium,3.56174
Hordeum_jubatum_Sub1,Hordeum_stenostachys,3.56174
Hordeum_jubatum_Sub1,Hordeum_euclaston,3.56174
Hordeum_jubatum_Sub1,Hordeum_intercedens,3.56174
Hordeum_jubatum_Sub1,Hordeum_pusillum,3.56174
Hordeum_jubatum_Sub1,Hordeum_parodii_Sub3,3.56174
Hordeum_jubatum_Sub1,Hordeum_pubiflorum,3.56174
Hordeum_jubatum_Sub1,Hordeum_patagonicum,3.56174
Hordeum_jubatum_Sub1,Hordeum_comosum,3.56174
Hordeum_jubatum_Sub1,Hordeum_cordobense,3.56174
Hordeum_jubatum_Sub1,Hordeum_muticum,3.56174
Hordeum_jubatum_Sub1,Hordeum_secalinum_Sub2,5.56327
Hordeum_jubatum_Sub1,Hordeum_gussoneanum,9.009506
Hordeum_jubatum_Sub1,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_jubatum_Sub1,Hordeum_secalinum_Sub1,9.009506
Hordeum_jubatum_Sub1,Hordeum_marinum_BCC2001,9.009506
Hordeum_jubatum_Sub1,Hordeum_marinum_H559,9.009506
Hordeum_jubatum_Sub1,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_jubatum_Sub1,Hordeum_bulbosum_Hap1,12.273094
Hordeum_jubatum_Sub1,Hordeum_bulbosum_Hap2,12.273094
Hordeum_jubatum_Sub1,Hordeum_vulgare,12.273094
Hordeum_jubatum_Sub1,Hordeum_murinum_Sub1,12.273094
Hordeum_jubatum_Sub1,Hordeum_murinum_BCC2017,12.273094
Hordeum_jubatum_Sub1,Hordeum_murinum_Sub2,12.273094
Hordeum_jubatum_Sub1,Triticum_monococcum,16.207947
Hordeum_jubatum_Sub1,Oryza_sativa,46.81582
Hordeum_chilense,Sorghum_bicolor,48.998211
Hordeum_chilense,Brachypodium_distachyon,34.529178
Hordeum_chilense,Hordeum_bogdanii,6.170433
Hordeum_chilense,Hordeum_jubatum_Sub2,6.170433
Hordeum_chilense,Hordeum_parodii_Sub2,6.170433
Hordeum_chilense,Hordeum_roshevitzii,6.170433
Hordeum_chilense,Hordeum_brevisubulatum,6.170433
Hordeum_chilense,Hordeum_californicum,3.56174
Hordeum_chilense,Hordeum_jubatum_Sub1,3.56174
Hordeum_chilense,Hordeum_flexuosum,0.849577
Hordeum_chilense,Hordeum_parodii_Sub1,0.849577
Hordeum_chilense,Hordeum_erectifolium,1.427274
Hordeum_chilense,Hordeum_stenostachys,1.427274
Hordeum_chilense,Hordeum_euclaston,1.427274
Hordeum_chilense,Hordeum_intercedens,1.427274
Hordeum_chilense,Hordeum_pusillum,1.427274
Hordeum_chilense,Hordeum_parodii_Sub3,1.567448
Hordeum_chilense,Hordeum_pubiflorum,1.567448
Hordeum_chilense,Hordeum_patagonicum,1.567448
Hordeum_chilense,Hordeum_comosum,1.683545
Hordeum_chilense,Hordeum_cordobense,1.782909
Hordeum_chilense,Hordeum_muticum,1.782909
Hordeum_chilense,Hordeum_secalinum_Sub2,5.56327
Hordeum_chilense,Hordeum_gussoneanum,9.009506
Hordeum_chilense,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_chilense,Hordeum_secalinum_Sub1,9.009506
Hordeum_chilense,Hordeum_marinum_BCC2001,9.009506
Hordeum_chilense,Hordeum_marinum_H559,9.009506
Hordeum_chilense,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_chilense,Hordeum_bulbosum_Hap1,12.273094
Hordeum_chilense,Hordeum_bulbosum_Hap2,12.273094
Hordeum_chilense,Hordeum_vulgare,12.273094
Hordeum_chilense,Hordeum_murinum_Sub1,12.273094
Hordeum_chilense,Hordeum_murinum_BCC2017,12.273094
Hordeum_chilense,Hordeum_murinum_Sub2,12.273094
Hordeum_chilense,Triticum_monococcum,16.207947
Hordeum_chilense,Oryza_sativa,46.81582
Hordeum_flexuosum,Sorghum_bicolor,48.998211
Hordeum_flexuosum,Brachypodium_distachyon,34.529178
Hordeum_flexuosum,Hordeum_bogdanii,6.170433
Hordeum_flexuosum,Hordeum_jubatum_Sub2,6.170433
Hordeum_flexuosum,Hordeum_parodii_Sub2,6.170433
Hordeum_flexuosum,Hordeum_roshevitzii,6.170433
Hordeum_flexuosum,Hordeum_brevisubulatum,6.170433
Hordeum_flexuosum,Hordeum_californicum,3.56174
Hordeum_flexuosum,Hordeum_jubatum_Sub1,3.56174
Hordeum_flexuosum,Hordeum_chilense,0.849577
Hordeum_flexuosum,Hordeum_parodii_Sub1,0.367128
Hordeum_flexuosum,Hordeum_erectifolium,1.427274
Hordeum_flexuosum,Hordeum_stenostachys,1.427274
Hordeum_flexuosum,Hordeum_euclaston,1.427274
Hordeum_flexuosum,Hordeum_intercedens,1.427274
Hordeum_flexuosum,Hordeum_pusillum,1.427274
Hordeum_flexuosum,Hordeum_parodii_Sub3,1.567448
Hordeum_flexuosum,Hordeum_pubiflorum,1.567448
Hordeum_flexuosum,Hordeum_patagonicum,1.567448
Hordeum_flexuosum,Hordeum_comosum,1.683545
Hordeum_flexuosum,Hordeum_cordobense,1.782909
Hordeum_flexuosum,Hordeum_muticum,1.782909
Hordeum_flexuosum,Hordeum_secalinum_Sub2,5.56327
